skill_overlap,years_experience,salary_offered,distance_km,seniority,contract_type,remote,match
0.475,1.3,26817,22.1,junior,full_time,no,0
0.119,3.0,37728,76.9,mid,full_time,yes,1
0.687,1.7,31151,85.7,junior,full_time,no,1
0.498,5.3,35812,59.6,mid,part_time,no,1
0.517,1.8,30912,52.2,junior,full_time,yes,1
0.101,1.6,13733,50.5,junior,internship,no,0
0.287,0.0,25405,35.5,junior,full_time,no,1
0.148,1.6,27112,59.2,junior,full_time,no,0
0.769,5.7,31308,74.1,mid,part_time,no,1
0.72,7.7,43689,26.2,mid,full_time,no,1
0.284,5.5,43392,13.9,mid,full_time,no,1
0.516,1.3,13866,11.7,junior,part_time,no,1
0.12,2.4,17718,96.1,junior,internship,no,0
0.251,2.2,29350,16.4,junior,full_time,no,0
0.604,2.7,28764,16.6,mid,part_time,no,1
0.048,1.7,25454,90.5,junior,full_time,yes,0
0.337,1.8,21216,72.8,junior,part_time,no,0
0.393,2.9,21630,43.5,junior,part_time,no,1
0.709,7.6,44443,124.2,mid,freelance,no,0
0.215,2.7,15604,30.6,junior,internship,no,0
0.873,6.1,32146,43.4,mid,part_time,no,1
0.409,1.5,45003,35.3,mid,full_time,no,1
0.15,3.0,41611,94.8,mid,full_time,no,0
0.029,3.8,42651,36.5,mid,freelance,yes,0
0.602,5.8,42882,40.4,mid,full_time,no,1
0.358,1.8,15083,35.1,junior,part_time,no,0
0.065,0.9,40285,50.4,mid,full_time,yes,1
0.551,4.3,38532,149.3,mid,full_time,yes,1
0.329,5.7,43729,37.7,mid,full_time,no,0
0.503,0.2,44498,2.5,mid,freelance,no,1
0.208,3.6,31498,8.2,junior,full_time,no,1
0.463,5.6,19740,38.6,mid,internship,yes,1
0.483,5.8,16053,19.7,mid,internship,no,0
0.613,14.1,48995,47.0,senior,part_time,yes,0
0.574,10.4,62302,79.5,senior,full_time,yes,1
0.436,3.2,46608,46.3,mid,full_time,no,1
0.435,2.8,39622,60.5,mid,full_time,no,0
0.252,3.2,46040,64.8,mid,full_time,no,0
0.105,0.9,27769,167.3,junior,full_time,yes,0
0.238,11.0,68197,114.5,senior,full_time,yes,0
0.606,0.5,46447,59.7,mid,freelance,no,1
0.157,0.3,29950,76.7,junior,part_time,yes,0
0.159,1.5,24819,64.1,junior,full_time,yes,0
1.0,12.4,56267,11.5,senior,full_time,yes,1
0.462,1.1,29751,73.4,junior,full_time,yes,0
0.675,0.0,28613,54.4,junior,freelance,no,0
0.403,0.8,29555,33.8,junior,full_time,yes,1
0.053,1.8,27757,36.5,junior,full_time,no,0
0.009,1.4,30347,60.8,junior,freelance,no,0
0.654,4.0,40576,36.1,mid,full_time,no,0
0.118,0.7,29432,113.2,junior,full_time,no,1
0.442,11.5,63736,41.4,senior,full_time,no,0
0.45,9.1,64465,19.1,senior,full_time,no,1
0.566,1.5,27098,31.5,junior,full_time,yes,1
0.388,1.6,37899,201.4,junior,freelance,no,0
0.238,4.8,47844,23.7,mid,full_time,yes,0
0.221,2.2,22847,4.6,junior,full_time,no,0
0.055,0.9,21009,29.3,junior,part_time,no,0
0.839,8.5,47362,115.3,senior,part_time,yes,1
0.545,12.2,62592,42.8,senior,full_time,yes,1
0.052,2.7,32066,21.6,mid,full_time,yes,0
